names,,,,1-1,1-2,2-1,2-2,3-1,3-2,4-1,4-2,5-1,5-2,6-1,6-2,7-1,7-2,8-1,8-2,9-1,9-2,10-1,10-2,11-1,11-2,12-1,12-2,13-1,13-2,14-1,14-2,15-1,15-2,16-1,16-2,17-1,17-2,18-1,18-2,19-1,19-2,20-1,20-2,21-1,21-2,22-1,22-2,23-1,23-2,24-1,24-2,25-1,25-2
Pedro Antunes,,,,51,101,145,190,230,273,333,395,458,520,584,639,703,766,824,879,942,1006,1065,1123,1185,1247,1301,1356,1416,1475,1532,1590,1655,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717
Peter Coward,,,,60,121,176,230,280,311,343,376,413,451,489,530,572,615,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658
Richard Kotze,,,,11,26,40,56,75,100,129,159,192,225,259,296,332,368,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405
Savvas Georgiou,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Stefan Lage,,,,33,67,126,185,239,296,348,395,454,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514
Timothy Williams,,,,19,41,65,90,131,176,218,262,304,347,388,434,486,542,587,634,681,731,778,825,873,921,970,1020,1071,1122,1171,1224,1224,1224,1224,1224,1286,1348,1412,1412,1412,1412,1477,1543,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609
Tuffail,,,,48,99,139,181,209,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
Vinicius Leal,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zena Hira,,,,65,130,192,254,317,380,449,518,587,656,724,793,861,930,999,1067,1136,1205,1273,1342,1411,1480,1549,1618,1687,1756,1825,1894,1963,2032,2101,2170,2239,2308,2376,2445,2514,2583,2652,2721,2790,2859,2859,2859,2859,2859,2859,2859,2859,2859
a-bagley,,,,30,61,115,170,223,271,311,352,387,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423
afrappa,,,,34,69,98,128,158,192,225,259,298,332,367,405,442,479,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517
ahorvath008,,,,27,43,58,75,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
akiko,,,,44,89,130,168,205,247,288,328,372,417,465,512,555,599,640,685,729,773,817,861,907,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953
alikyo,,,,24,50,82,116,158,191,227,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263
dr3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eli77rhm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ganzogo,,,,64,128,191,254,302,346,390,433,480,528,583,645,700,758,813,862,918,980,1035,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092
lamphamTL,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pkiddie,,,,45,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
srecheandia,,,,18,39,61,84,117,157,188,220,256,293,330,370,410,451,491,535,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
ssingh,,,,42,83,106,130,159,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
syrine trabelsi,,,,22,46,76,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
tait-trainline,,,,35,58,85,114,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
tanguy-martin,,,,20,37,57,78,102,130,169,208,256,305,362,362,418,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475
tlanuars,,,,15,34,53,71,92,118,148,179,213,248,284,323,362,402,444,487,529,571,613,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655
